,2,1,0
236,1,1,0
237,0,0,1
238,1,0,1
239,0,1,1
240,1,0,0
241,0,0,1
242,1,0,0
243,1,0,1
244,1,1,0
245,0,1,1
246,1,1,1
247,1,1,1
248,1,0,0
249,0,1,1
250,1,0,1
251,1,1,1
252,1,0,1
253,0,0,1
254,1,1,1
255,0,1,1
256,1,1,1
257,0,1,1
258,1,1,0
259,1,0,0
260,0,1,1
261,0,1,1
262,0,0,0
263,0,0,1
264,0,1,1
265,1,0,1
266,1,0,0
267,1,1,0
268,1,0,0
269,1,1,1
270,0,1,1
271,0,0,0
272,1,0,0
273,1,1,0
274,0,1,1
275,1,0,1
276,1,1,1
277,1,1,0
278,0,0,0
279,1,1,0
280,1,1,0
281,1,0,0
282,1,0,0
283,1,0,1
284,0,0,0
285,0,0,1
286,1,1,1
287,1,1,1
288,0,1,1
289,0,1,1
290,1,1,1
291,1,1,1
292,1,1,0
293,0,1,1
294,1,1,1
295,1,0,1
296,0,1,0
297,0,1,1
298,0,1,1
299,1,0,1
300,0,1,1
301,0,1,1
302,0,1,1
303,1,1,0
304,0,1,1
305,0,1,1
306,0,0,1
307,1,1,1
308,0,1,0
309,1,1,1
310,1,1,0
311,1,1,1
312,0,1,1
313,1,0,1
314,1,1,1
315,1,1,1
316,1,1,1
317,1,1,1
318,0,0,0
319,1,1,1
320,0,1,1
321,1,1,1
322,1,1,1
323,0,1,1
324,1,1,0
325,1,1,0
326,1,1,0
327,0,0,0
328,1,1,0
329,1,0,0
330,1,1,1
331,1,1,1
332,0,1,1
333,1,1,0
334,1,1,0
335,0,1,1
336,1,1,1
337,1,1,0
338,1,1,1
339,1,1,0
340,1,1,1
341,0,0,0
342,0,0,0
343,1,1,0
344,0,0,0
345,0,1,0
346,1,1,1
347,0,0,0
348,0,0,0
349,0,1,1
