,0,1
400,0,0
401,0,0
402,0,0
403,1,0
404,1,0
405,0,1
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,1,0
412,0,1
413,1,0
414,1,0
415,1,0
416,0,0
417,0,0
418,0,0
419,1,0
420,1,0
421,1,0
422,0,1
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,1,0
429,0,0
430,1,0
431,1,0
432,0,1
433,0,1
434,0,1
435,0,0
436,1,0
437,0,0
438,0,0
439,0,1
440,1,0
441,1,0
442,0,0
443,1,0
444,1,0
445,1,0
446,0,0
447,1,0
448,1,0
449,1,0
450,0,1
451,1,0
452,0,0
453,1,0
454,0,1
455,0,0
456,0,0
457,1,0
458,0,0
459,0,0
460,1,0
461,0,1
462,0,0
463,0,1
464,1,0
465,0,0
466,0,1
467,0,0
468,0,1
469,1,0
470,0,0
471,0,0
472,1,0
473,0,1
474,0,1
475,1,0
476,1,0
477,1,0
478,0,1
479,0,0
480,1,0
481,0,0
482,0,1
483,0,0
484,1,0
485,1,0
486,0,0
487,1,0
488,1,0
489,0,0
490,1,0
491,1,0
492,1,0
493,1,0
494,1,0
495,0,0
496,1,0
497,1,0
498,0,0
499,1,0
