Z,X,Y,b_X_Y
0,1,0,-5.0
0,1,0,-5.0
0,1,0,-5.0
0,0,1,-5.0
1,1,0,-5.0
1,0,1,-5.0
0,0,1,-5.0
1,1,0,-5.0
0,1,0,-5.0
1,0,1,-5.0
1,1,0,-5.0
0,0,1,-5.0
0,0,1,-5.0
0,0,1,-5.0
0,1,0,-5.0
1,1,0,-5.0
0,1,0,-5.0
0,0,1,-5.0
1,1,0,-5.0
0,0,1,-5.0
1,1,0,-5.0
0,0,1,-5.0
1,0,1,-5.0
1,0,1,-5.0
0,1,0,-5.0
0,0,1,-5.0
0,1,0,-5.0
1,0,1,-5.0
1,0,1,-5.0
1,0,1,-5.0
1,0,0,-5.0
1,1,0,-5.0
1,1,0,-5.0
0,0,1,-5.0
1,0,0,-5.0
1,1,0,-5.0
0,0,1,-5.0
1,1,0,-5.0
1,0,1,-5.0
0,1,0,-5.0
0,1,0,-5.0
1,1,0,-5.0
0,1,0,-5.0
1,0,0,-5.0
0,1,0,-5.0
1,0,0,-5.0
1,1,0,-5.0
1,1,0,-5.0
1,1,0,-5.0
1,1,0,-5.0
0,0,0,-5.0
1,1,0,-5.0
0,1,0,-5.0
0,0,0,-5.0
0,0,1,-5.0
1,1,0,-5.0
1,1,0,-5.0
1,0,0,-5.0
0,0,0,-5.0
0,0,1,-5.0
1,1,0,-5.0
0,1,0,-5.0
0,0,0,-5.0
1,0,1,-5.0
1,0,1,-5.0
1,1,0,-5.0
1,1,0,-5.0
1,1,0,-5.0
0,1,0,-5.0
1,1,0,-5.0
0,0,1,-5.0
1,1,0,-5.0
0,1,0,-5.0
0,1,0,-5.0
0,1,0,-5.0
1,1,0,-5.0
1,0,0,-5.0
1,0,0,-5.0
1,0,1,-5.0
1,1,0,-5.0
0,1,0,-5.0
0,0,1,-5.0
1,1,0,-5.0
1,0,0,-5.0
1,1,0,-5.0
0,0,1,-5.0
1,1,0,-5.0
1,0,1,-5.0
0,0,1,-5.0
0,0,0,-5.0
1,1,0,-5.0
1,1,0,-5.0
0,1,0,-5.0
0,1,0,-5.0
0,0,0,-5.0
0,0,1,-5.0
0,0,0,-5.0
0,1,0,-5.0
1,0,1,-5.0
1,1,0,-5.0
0,1,0,-5.0
0,0,0,-5.0
1,0,0,-5.0
0,0,1,-5.0
1,1,0,-5.0
0,1,0,-5.0
1,1,0,-5.0
1,1,0,-5.0
1,1,0,-5.0
1,0,1,-5.0
0,1,0,-5.0
0,1,0,-5.0
0,0,0,-5.0
1,0,1,-5.0
0,0,0,-5.0
1,1,0,-5.0
1,1,0,-5.0
1,0,0,-5.0
0,1,0,-5.0
0,0,0,-5.0
1,0,0,-5.0
0,1,0,-5.0
1,0,1,-5.0
1,1,0,-5.0
0,0,1,-5.0
1,1,0,-5.0
1,1,0,-5.0
1,0,0,-5.0
0,1,0,-5.0
0,0,1,-5.0
1,0,0,-5.0
1,0,1,-5.0
0,1,0,-5.0
0,1,0,-5.0
0,1,0,-5.0
0,1,0,-5.0
0,0,1,-5.0
0,1,0,-5.0
0,0,1,-5.0
0,1,0,-5.0
0,0,1,-5.0
1,0,1,-5.0
1,0,1,-5.0
1,0,0,-5.0
0,1,0,-5.0
0,1,0,-5.0
1,1,0,-5.0
1,0,0,-5.0
1,1,0,-5.0
1,1,0,-5.0
1,0,0,-5.0
1,0,1,-5.0
0,1,0,-5.0
1,0,1,-5.0
1,1,0,-5.0
0,1,0,-5.0
0,1,0,-5.0
1,0,1,-5.0
1,1,0,-5.0
0,1,0,-5.0
0,1,0,-5.0
0,1,0,-5.0
1,0,1,-5.0
1,0,1,-5.0
1,0,1,-5.0
0,0,1,-5.0
1,0,1,-5.0
0,1,0,-5.0
1,1,0,-5.0
1,1,0,-5.0
1,1,0,-5.0
1,0,0,-5.0
1,1,0,-5.0
0,1,0,-5.0
0,1,0,-5.0
1,1,0,-5.0
1,1,0,-5.0
0,0,1,-5.0
0,1,0,-5.0
0,0,1,-5.0
0,1,0,-5.0
1,0,1,-5.0
0,1,0,-5.0
1,0,1,-5.0
1,1,0,-5.0
1,1,0,-5.0
1,0,0,-5.0
1,1,0,-5.0
1,1,0,-5.0
0,0,0,-5.0
0,0,0,-5.0
1,1,0,-5.0
0,1,0,-5.0
1,1,0,-5.0
1,0,1,-5.0
1,0,1,-5.0
0,1,0,-5.0
1,1,0,-5.0
0,0,1,-5.0
1,1,0,-5.0
0,1,0,-5.0
1,0,1,-5.0
0,0,1,-5.0
1,0,1,-5.0
1,0,1,-5.0
0,1,0,-5.0
0,0,1,-5.0
0,0,1,-5.0
0,1,0,-5.0
1,1,0,-5.0
0,1,0,-5.0
1,1,0,-5.0
0,0,1,-5.0
1,0,0,-5.0
0,0,1,-5.0
1,1,0,-5.0
0,0,0,-5.0
0,0,1,-5.0
0,1,0,-5.0
0,0,0,-5.0
0,0,0,-5.0
1,1,0,-5.0
1,0,1,-5.0
0,1,0,-5.0
1,1,0,-5.0
0,0,0,-5.0
0,1,0,-5.0
1,0,0,-5.0
1,0,0,-5.0
0,1,0,-5.0
1,1,0,-5.0
1,0,1,-5.0
1,1,0,-5.0
1,1,0,-5.0
0,1,0,-5.0
0,1,1,-5.0
0,1,0,-5.0
1,1,0,-5.0
0,0,1,-5.0
1,1,0,-5.0
0,0,1,-5.0
1,1,0,-5.0
0,1,0,-5.0
1,0,0,-5.0
1,0,0,-5.0
1,1,0,-5.0
1,0,1,-5.0
1,1,0,-5.0
0,0,1,-5.0
0,0,1,-5.0
1,1,0,-5.0
0,1,0,-5.0
1,0,0,-5.0
0,1,0,-5.0
1,1,1,-5.0
0,1,0,-5.0
1,0,0,-5.0
0,0,0,-5.0
0,0,1,-5.0
1,0,1,-5.0
0,1,0,-5.0
0,1,0,-5.0
0,0,1,-5.0
1,0,1,-5.0
1,1,0,-5.0
0,0,0,-5.0
0,1,0,-5.0
0,1,0,-5.0
1,1,0,-5.0
1,0,1,-5.0
0,0,1,-5.0
1,1,0,-5.0
1,0,1,-5.0
1,1,0,-5.0
1,1,0,-5.0
1,0,1,-5.0
1,1,0,-5.0
1,1,0,-5.0
0,1,0,-5.0
0,1,0,-5.0
0,0,1,-5.0
1,0,1,-5.0
0,1,0,-5.0
1,0,1,-5.0
1,1,0,-5.0
0,0,0,-5.0
0,0,1,-5.0
0,1,0,-5.0
0,1,0,-5.0
1,0,1,-5.0
1,0,0,-5.0
1,0,1,-5.0
1,1,0,-5.0
1,1,0,-5.0
0,0,1,-5.0
0,1,0,-5.0
0,1,0,-5.0
0,1,0,-5.0
0,1,0,-5.0
0,0,0,-5.0
0,1,0,-5.0
1,0,1,-5.0
1,0,0,-5.0
1,1,0,-5.0
1,0,0,-5.0
0,1,0,-5.0
1,0,1,-4.995
1,0,0,-4.995
1,0,0,-4.995
0,1,0,-4.995
1,1,0,-4.995
1,0,0,-4.995
0,0,1,-4.995
0,0,0,-4.995
1,1,0,-4.995
0,1,0,-4.995
1,1,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
0,0,1,-4.995
1,1,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
1,0,1,-4.995
1,0,1,-4.995
1,1,0,-4.995
0,0,1,-4.995
1,0,1,-4.995
1,0,1,-4.995
0,0,1,-4.995
1,1,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
1,0,0,-4.995
1,0,0,-4.995
0,1,0,-4.995
0,0,1,-4.995
1,0,0,-4.995
0,0,1,-4.995
0,1,0,-4.995
1,0,0,-4.995
1,0,0,-4.995
1,0,1,-4.995
0,0,1,-4.995
1,1,0,-4.995
1,0,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
0,0,0,-4.995
1,1,0,-4.995
1,1,0,-4.995
1,1,0,-4.995
1,1,0,-4.995
1,1,0,-4.995
1,1,0,-4.995
1,0,1,-4.995
1,0,1,-4.995
0,1,0,-4.995
0,0,1,-4.995
0,0,1,-4.995
1,0,0,-4.995
0,0,1,-4.995
1,0,1,-4.995
1,0,0,-4.995
0,0,1,-4.995
1,0,0,-4.995
1,0,1,-4.995
1,0,1,-4.995
0,0,0,-4.995
1,1,0,-4.995
1,0,1,-4.995
1,1,0,-4.995
1,0,0,-4.995
1,1,0,-4.995
0,0,1,-4.995
0,1,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
1,0,0,-4.995
1,0,0,-4.995
1,0,1,-4.995
0,0,1,-4.995
0,0,1,-4.995
0,0,1,-4.995
0,1,0,-4.995
0,1,0,-4.995
0,0,1,-4.995
1,0,1,-4.995
0,0,1,-4.995
0,0,1,-4.995
0,1,0,-4.995
1,0,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
0,0,1,-4.995
0,1,0,-4.995
0,1,0,-4.995
0,0,0,-4.995
1,0,0,-4.995
1,0,0,-4.995
0,1,0,-4.995
1,0,0,-4.995
0,0,1,-4.995
1,0,0,-4.995
1,1,0,-4.995
0,0,0,-4.995
0,0,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
0,0,0,-4.995
1,0,0,-4.995
0,1,0,-4.995
1,0,0,-4.995
1,1,0,-4.995
1,0,0,-4.995
1,0,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
1,0,0,-4.995
1,0,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
1,0,1,-4.995
1,0,0,-4.995
1,0,1,-4.995
0,0,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
0,0,0,-4.995
1,0,1,-4.995
0,0,0,-4.995
1,0,1,-4.995
1,0,0,-4.995
1,0,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
0,1,0,-4.995
1,0,1,-4.995
1,0,1,-4.995
0,0,0,-4.995
1,0,1,-4.995
0,1,0,-4.995
0,0,1,-4.995
1,0,1,-4.995
0,1,0,-4.995
0,1,0,-4.995
0,0,1,-4.995
1,0,1,-4.995
1,1,0,-4.995
0,0,1,-4.995
0,1,0,-4.995
1,1,0,-4.995
1,0,0,-4.995
1,0,1,-4.995
1,0,1,-4.995
1,1,0,-4.995
0,1,0,-4.995
0,0,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
1,1,0,-4.995
1,1,0,-4.995
1,0,0,-4.995
0,0,1,-4.995
1,0,1,-4.995
1,0,1,-4.995
1,0,1,-4.995
0,0,1,-4.995
0,0,1,-4.995
1,0,0,-4.995
0,0,0,-4.995
0,0,1,-4.995
1,1,0,-4.995
1,0,1,-4.995
1,0,1,-4.995
1,0,1,-4.995
0,1,0,-4.995
1,0,0,-4.995
1,0,0,-4.995
1,1,0,-4.995
1,0,0,-4.995
0,0,0,-4.995
0,0,1,-4.995
1,0,1,-4.995
0,1,0,-4.995
1,0,0,-4.995
1,1,0,-4.995
0,0,0,-4.995
0,1,0,-4.995
0,0,0,-4.995
0,1,0,-4.995
0,0,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
0,0,1,-4.995
1,0,0,-4.995
1,0,1,-4.995
0,0,0,-4.995
1,0,1,-4.995
0,0,1,-4.995
0,0,1,-4.995
0,0,1,-4.995
1,0,0,-4.995
0,1,0,-4.995
0,0,0,-4.995
1,0,0,-4.995
0,1,0,-4.995
1,0,0,-4.995
1,1,0,-4.995
0,1,0,-4.995
1,0,0,-4.995
1,0,0,-4.995
0,0,1,-4.995
1,1,0,-4.995
1,0,0,-4.995
0,0,0,-4.995
1,0,0,-4.995
1,0,1,-4.995
1,0,0,-4.995
0,0,1,-4.995
0,0,0,-4.995
1,1,0,-4.995
1,0,1,-4.995
1,0,1,-4.995
0,1,0,-4.995
0,1,0,-4.995
0,0,1,-4.995
1,0,0,-4.995
1,0,1,-4.995
0,1,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
0,0,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
1,0,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
1,1,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
0,1,1,-4.995
0,1,0,-4.995
1,0,0,-4.995
1,1,0,-4.995
0,0,0,-4.995
0,1,0,-4.995
0,0,1,-4.995
0,1,0,-4.995
1,0,0,-4.995
0,0,1,-4.995
1,0,1,-4.995
1,1,0,-4.995
0,1,1,-4.995
0,1,0,-4.995
0,0,1,-4.995
0,0,1,-4.995
0,0,1,-4.995
1,0,1,-4.995
1,0,1,-4.995
0,0,1,-4.995
1,0,1,-4.995
0,1,0,-4.995
1,0,1,-4.995
1,0,1,-4.995
1,1,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
1,0,1,-4.995
1,1,0,-4.995
1,0,0,-4.995
0,0,1,-4.995
0,0,1,-4.995
0,0,1,-4.995
0,1,0,-4.995
1,0,0,-4.995
0,1,0,-4.995
1,0,0,-4.995
1,0,0,-4.995
1,1,0,-4.995
0,1,0,-4.995
1,0,0,-4.995
1,0,1,-4.995
0,0,1,-4.995
0,0,1,-4.995
0,0,1,-4.995
0,1,0,-4.995
0,1,0,-4.995
0,0,0,-4.995
0,1,0,-4.995
1,0,0,-4.995
0,0,1,-4.995
1,1,0,-4.995
0,0,1,-4.995
1,1,0,-4.995
0,0,0,-4.995
1,0,1,-4.995
1,0,1,-4.995
0,1,0,-4.995
0,0,1,-4.995
0,0,1,-4.995
0,1,0,-4.995
0,0,0,-4.995
0,1,0,-4.995
0,0,1,-4.995
1,0,1,-4.995
0,1,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
1,0,0,-4.995
1,1,0,-4.995
1,0,1,-4.995
1,1,1,-4.995
0,0,1,-4.995
1,0,0,-4.995
1,0,1,-4.995
1,0,1,-4.995
0,0,0,-4.995
1,0,0,-4.995
0,1,0,-4.995
1,0,0,-4.995
1,0,1,-4.995
1,0,1,-4.995
1,0,1,-4.995
1,1,0,-4.995
1,0,1,-4.995
0,1,0,-4.995
0,1,0,-4.995
0,0,1,-4.995
0,0,0,-4.995
0,1,0,-4.995
1,1,0,-4.995
0,0,0,-4.995
0,0,1,-4.995
0,0,0,-4.995
0,0,1,-4.995
0,0,1,-4.995
1,0,1,-4.995
1,0,1,-4.995
1,0,1,-4.995
0,1,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
1,1,0,-4.995
1,0,0,-4.995
0,0,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
1,0,1,-4.995
1,0,1,-4.995
1,0,0,-4.995
1,0,1,-4.995
0,0,1,-4.995
0,0,1,-4.995
0,1,0,-4.995
1,1,0,-4.995
1,0,0,-4.995
0,0,1,-4.995
0,1,0,-4.995
1,0,0,-4.995
1,1,0,-4.995
0,0,1,-4.995
0,1,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
1,0,0,-4.995
1,0,0,-4.995
1,1,0,-4.995
0,0,0,-4.995
1,0,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
1,0,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
0,1,0,-4.995
1,0,1,-4.995
0,0,1,-4.995
1,1,0,-4.995
0,0,1,-4.995
1,0,1,-4.995
0,0,0,-4.995
1,0,1,-4.995
0,1,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
0,0,1,-4.995
1,1,0,-4.995
0,0,0,-4.995
0,1,0,-4.995
0,0,1,-4.995
1,1,0,-4.995
1,0,1,-4.995
1,1,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
1,1,0,-4.995
1,0,0,-4.995
1,0,1,-4.995
1,1,0,-4.995
0,0,1,-4.995
0,1,1,-4.995
1,1,0,-4.995
0,0,1,-4.995
0,1,0,-4.995
1,0,0,-4.995
0,0,0,-4.995
1,0,1,-4.995
0,0,0,-4.995
0,1,0,-4.995
0,0,0,-4.995
1,0,1,-4.995
1,0,1,-4.995
0,1,0,-4.995
1,1,0,-4.995
0,0,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
0,0,1,-4.995
1,1,0,-4.995
0,0,1,-4.995
0,1,0,-4.995
1,1,0,-4.995
1,0,1,-4.995
0,1,0,-4.995
1,0,1,-4.995
1,1,0,-4.995
1,0,1,-4.995
1,0,0,-4.995
0,1,0,-4.995
1,1,0,-4.995
1,1,0,-4.995
1,1,0,-4.995
0,1,0,-4.995
0,0,0,-4.995
0,1,1,-4.995
1,1,0,-4.995
1,1,0,-4.995
0,0,0,-4.995
0,0,1,-4.995
0,1,0,-4.995
0,1,0,-4.995
1,1,0,-4.995
0,0,0,-4.995
1,1,0,-4.995
0,1,0,-4.995
0,0,1,-4.995
0,0,0,-4.995
0,0,1,-4.995
0,1,0,-4.995
0,1,0,-4.995
1,0,0,-4.995
0,1,0,-4.995
1,0,1,-4.995
1,1,0,-4.995
1,0,1,-4.995
0,1,0,-4.995
1,1,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
1,0,0,-4.995
0,1,0,-4.995
0,0,1,-4.995
0,1,0,-4.995
1,0,1,-4.995
0,0,1,-4.995
1,0,0,-4.995
1,0,0,-4.995
1,1,0,-4.995
1,0,0,-4.995
1,0,0,-4.995
1,0,0,-4.995
0,0,1,-4.995
0,0,0,-4.995
0,1,0,-4.995
0,1,0,-4.995
0,0,1,-4.995
0,0,1,-4.995
1,0,1,-4.995
0,0,1,-4.995
0,0,1,-4.995
0,1,0,-4.995
0,0,1,-4.995
0,0,0,-4.995
1,0,0,-4.995
1,0,1,-4.995
1,0,0,-4.995
0,0,0,-4.995
0,1,0,-4.995
1,1,0,-4.995
0,0,0,-4.995
1,1,0,-4.995
0,0,1,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,0,1,-4.99
1,1,0,-4.99
0,0,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,0,0,-4.99
0,0,1,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
0,0,0,-4.99
1,0,1,-4.99
0,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
0,0,1,-4.99
0,0,1,-4.99
0,1,0,-4.99
1,1,0,-4.99
0,0,0,-4.99
0,0,0,-4.99
0,0,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
1,0,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
0,0,0,-4.99
1,1,0,-4.99
1,0,0,-4.99
0,1,0,-4.99
1,0,0,-4.99
0,1,0,-4.99
0,0,1,-4.99
0,0,1,-4.99
1,1,0,-4.99
1,0,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,0,1,-4.99
0,0,1,-4.99
0,0,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,0,1,-4.99
0,0,1,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,0,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,0,0,-4.99
0,0,1,-4.99
0,1,0,-4.99
0,1,0,-4.99
0,0,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
0,1,0,-4.99
0,1,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
0,0,1,-4.99
0,1,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
0,0,0,-4.99
1,1,0,-4.99
1,0,1,-4.99
1,0,1,-4.99
0,0,0,-4.99
1,1,0,-4.99
0,0,1,-4.99
0,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,0,1,-4.99
0,0,1,-4.99
0,1,0,-4.99
1,0,1,-4.99
0,1,0,-4.99
1,1,0,-4.99
0,0,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,0,0,-4.99
1,0,0,-4.99
0,0,0,-4.99
1,1,0,-4.99
0,0,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
0,0,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,0,0,-4.99
0,0,1,-4.99
0,0,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,0,1,-4.99
0,0,0,-4.99
1,1,0,-4.99
0,0,0,-4.99
1,1,0,-4.99
1,0,1,-4.99
1,1,0,-4.99
0,1,0,-4.99
0,1,0,-4.99
0,1,0,-4.99
0,0,1,-4.99
1,1,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,0,1,-4.99
0,1,0,-4.99
0,0,1,-4.99
1,1,0,-4.99
0,1,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,0,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
0,1,0,-4.99
1,0,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,0,1,-4.99
0,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,0,0,-4.99
1,0,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
0,0,1,-4.99
0,0,0,-4.99
1,1,0,-4.99
1,0,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
1,0,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
0,0,0,-4.99
0,1,0,-4.99
0,0,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
0,0,1,-4.99
0,0,1,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
0,0,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
0,0,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
0,1,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,0,0,-4.99
0,0,0,-4.99
0,0,1,-4.99
1,0,1,-4.99
1,1,0,-4.99
0,0,0,-4.99
0,1,0,-4.99
0,0,1,-4.99
0,0,0,-4.99
0,0,0,-4.99
0,0,0,-4.99
0,0,0,-4.99
0,0,1,-4.99
1,1,0,-4.99
0,1,0,-4.99
0,0,0,-4.99
0,0,0,-4.99
0,0,0,-4.99
1,1,0,-4.99
0,0,1,-4.99
1,1,0,-4.99
1,0,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,1,0,-4.99
0,1,0,-4.99
1,0,1,-4.99
1,1,0,-4.99
0,1,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
0,0,0,-4.99
0,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
0,0,0,-4.99
0,0,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
1,1,0,-4.99
